"vidid","adview"
"VID_1054",3
"VID_18629",109
"VID_13967",3
"VID_19442",4
"VID_770",5
"VID_10315",4
"VID_7417",4
"VID_17788",4
"VID_14591",3
"VID_1228",3
"VID_10153",6
"VID_5667",5
"VID_22775",7
"VID_8353",3
"VID_486",2
"VID_17460",2
"VID_5867",3
"VID_15951",2
"VID_14890",3
"VID_7219",5
"VID_20045",2
"VID_11874",3
"VID_1208",11
"VID_4529",3
"VID_6793",4
"VID_18254",24
"VID_11155",3
"VID_12257",4
"VID_4207",3
"VID_23276",3
"VID_18261",7
"VID_11536",10
"VID_6429",4
"VID_9277",2
"VID_517",12
"VID_11291",5
"VID_11265",9
"VID_632",2
"VID_13587",3
"VID_16439",2
"VID_14888",3
"VID_3207",3
"VID_9352",12
"VID_3286",4
"VID_19592",5
"VID_15582",9
"VID_15269",3
"VID_5703",7
"VID_22315",3
"VID_14939",4
"VID_18277",5
"VID_1684",7
"VID_14842",5
"VID_635",8
"VID_19621",5
"VID_2006",3
"VID_2427",4
"VID_3232",3
"VID_17944",8
"VID_19507",3
"VID_6745",4
"VID_8446",13
"VID_17593",2
"VID_21611",4
"VID_16242",2
"VID_23409",22
"VID_22950",9
"VID_15401",5
"VID_7634",2
"VID_4283",4
"VID_20020",17
"VID_13334",3
"VID_17504",4
"VID_22854",2
"VID_4396",7
"VID_7426",5
"VID_1941",5
"VID_22447",7
"VID_13156",4
"VID_6361",4
"VID_1601",11
"VID_5787",4
"VID_15044",8
"VID_18511",3
"VID_17965",3
"VID_20023",19
"VID_20294",8
"VID_4284",4
"VID_6333",5
"VID_4459",5
"VID_7896",5
"VID_14003",9
"VID_22518",9
"VID_12272",4
"VID_1002",4
"VID_2801",2
"VID_85",6
"VID_17535",3
"VID_16710",5
"VID_7899",3
"VID_3336",4
"VID_966",3
"VID_15920",2
"VID_9048",4
"VID_10819",3
"VID_9004",3
"VID_8038",5
"VID_22273",5
"VID_9597",2
"VID_405",7
"VID_6857",4
"VID_745",3
"VID_22181",66
"VID_2452",2
"VID_16534",3
"VID_8504",3
"VID_6211",3
"VID_7421",3
"VID_19004",4
"VID_21560",129
"VID_6904",5
"VID_10068",4
"VID_3831",4
"VID_523",3
"VID_21181",3
"VID_9556",3
"VID_1140",10
"VID_18078",5
"VID_13326",5
"VID_21883",2
"VID_18044",7
"VID_11715",4
"VID_7741",13
"VID_23167",3
"VID_4147",4
"VID_12377",4
"VID_16014",3
"VID_21928",3
"VID_22002",4
"VID_19194",7
"VID_17892",5
"VID_19234",7
"VID_1790",4
"VID_7878",4
"VID_6945",3
"VID_17600",7
"VID_7502",6
"VID_11761",10
"VID_578",6
"VID_2068",9
"VID_10591",3
"VID_1300",6
"VID_2950",4
"VID_12930",3
"VID_22247",5
"VID_4330",4
"VID_14398",3
"VID_8506",332
"VID_12462",3
"VID_21697",16
"VID_14574",3
"VID_14171",3
"VID_22620",5
"VID_5642",4
"VID_12689",5
"VID_3676",4
"VID_23515",2
"VID_11336",2780
"VID_8360",4
"VID_14293",3
"VID_7088",2
"VID_11588",4
"VID_12193",3
"VID_18944",3
"VID_14220",11
"VID_2589",3
"VID_17644",5
"VID_20263",2
"VID_15204",5
"VID_6855",3
"VID_19306",4
"VID_20132",4
"VID_18477",5
"VID_4562",4
"VID_17001",3
"VID_6858",4
"VID_20250",4
"VID_22484",9
"VID_2358",4
"VID_17132",7
"VID_19635",4
"VID_20188",11
"VID_1272",96
"VID_2390",2
"VID_10914",4
"VID_9647",5
"VID_11219",5
"VID_13260",3
"VID_21600",4
"VID_12441",3
"VID_15261",4
"VID_11540",7
"VID_20101",53
"VID_3909",3
"VID_14409",2
"VID_10430",2
"VID_8148",4
"VID_9579",2
"VID_12302",3
"VID_7161",4
"VID_17471",2
"VID_13296",4
"VID_1935",14
"VID_23277",3
"VID_20389",8
"VID_2988",5
"VID_5453",3
"VID_6553",4
"VID_18356",2
"VID_15268",4
"VID_21503",7
"VID_6901",3
"VID_5796",4
"VID_21475",3
"VID_19600",7
"VID_7977",5
"VID_4704",10
"VID_20858",5
"VID_23644",3
"VID_12962",6
"VID_4894",5
"VID_4803",3
"VID_8408",5
"VID_12226",4
"VID_1299",3
"VID_7721",5
"VID_1919",7
"VID_23316",4
"VID_17849",11
"VID_1313",4
"VID_9117",3
"VID_9152",2
"VID_15543",4
"VID_11505",3
"VID_647",3
"VID_2236",3
"VID_14118",4
"VID_1225",14
"VID_11257",4
"VID_13130",5
"VID_12580",4
"VID_860",6
"VID_14251",4
"VID_6476",5
"VID_13070",3
"VID_4623",6
"VID_13599",2
"VID_11705",5
"VID_11736",3
"VID_14145",2
"VID_13264",3
"VID_10476",4
"VID_22755",16
"VID_13294",4
"VID_964",5
"VID_23498",2
"VID_12090",4
"VID_7494",4
"VID_141",29
"VID_242",2
"VID_8088",3
"VID_10154",3
"VID_3878",4
"VID_4799",3
"VID_12287",7
"VID_15607",4
"VID_9974",5
"VID_20032",4
"VID_9920",3
"VID_7959",7
"VID_21506",3
"VID_15898",3
"VID_4349",3
"VID_16235",2
"VID_6391",5
"VID_4940",3
"VID_16185",2
"VID_6988",2
"VID_877",6
"VID_23610",3
"VID_17702",3
"VID_18664",4
"VID_9915",4
"VID_4438",3
"VID_15812",2
"VID_15966",3
"VID_2832",3
"VID_20533",5
"VID_12692",5
"VID_11340",9
"VID_10760",5
"VID_19631",5
"VID_7012",3
"VID_7799",5
"VID_3963",3
"VID_501",48
"VID_9202",4
"VID_14268",8
"VID_21714",8
"VID_23154",3
"VID_4429",4
"VID_16062",4
"VID_6282",5
"VID_13205",4
"VID_8515",2
"VID_9480",3
"VID_21979",4
"VID_18494",13
"VID_20589",12
"VID_15916",4
"VID_17023",2
"VID_8425",2
